City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Urucara,BR,-2.5364,-57.76,74.77,85,74,2.62,broken clouds
125,Tiznit,MA,29.5833,-9.5,67.26,48,0,1.01,clear sky
126,Nata,PA,8.3333,-80.5167,79.47,90,99,3.8,overcast clouds
127,Morro Bay,US,35.3658,-120.8499,63.48,83,33,4.14,scattered clouds
128,Karla,EE,59.3723,24.9275,49.71,86,0,10.36,clear sky
129,Cap Malheureux,MU,-19.9842,57.6142,76.46,66,25,10.0,scattered clouds
130,Dunedin,NZ,-45.8742,170.5036,43.81,73,93,10.6,overcast clouds
131,Pozega,HR,45.3403,17.6853,58.77,67,5,1.68,clear sky
132,Leshukonskoye,RU,64.8989,45.7622,44.69,96,100,4.76,overcast clouds
133,Camacha,PT,33.0833,-16.3333,65.62,77,20,0.0,few clouds
134,Canico,PT,32.6333,-16.85,69.71,81,20,6.91,few clouds
135,Norman Wells,CA,65.282,-126.8329,31.06,89,72,12.35,broken clouds
136,Saint-Augustin,CA,51.226,-58.6502,55.42,98,100,14.63,overcast clouds
137,Waipawa,NZ,-41.4122,175.5153,48.45,84,64,7.29,broken clouds
138,Morrope,PE,-6.5417,-80.0111,63.1,86,84,10.04,broken clouds
139,Alvdal,NO,62.1077,10.6307,33.64,81,59,4.94,broken clouds
140,Mezen,RU,65.8522,44.24,44.47,96,100,3.71,overcast clouds
141,Isangel,VU,-19.55,169.2667,72.37,64,15,10.85,few clouds
142,Ostrovnoy,RU,68.0531,39.5131,46.71,82,100,3.31,overcast clouds
143,Faanui,PF,-16.4833,-151.75,79.92,70,1,6.49,clear sky
144,Paamiut,GL,61.994,-49.6678,33.76,67,2,11.86,clear sky
145,Egvekinot,RU,66.3167,-179.1667,23.74,75,99,3.15,overcast clouds
146,Najran,SA,17.4924,44.1277,85.26,12,1,11.27,clear sky
147,Champerico,GT,14.3,-91.9167,80.35,77,100,2.8,overcast clouds
148,Severo-Kurilsk,RU,50.6789,156.125,49.14,83,35,12.77,scattered clouds
149,Buala,SB,-8.145,159.5921,83.75,70,41,4.45,light rain
150,La Ronge,CA,55.1001,-105.2842,50.85,86,83,3.24,broken clouds
151,Ustye,RU,59.6304,39.736,45.93,96,100,6.44,overcast clouds
152,Cidreira,BR,-30.1811,-50.2056,61.68,94,6,6.08,clear sky
153,Coihaique,CL,-45.5752,-72.0662,32.79,94,20,5.53,few clouds
154,Kodiak,US,57.79,-152.4072,38.23,80,64,7.9,broken clouds
155,Bengkulu,ID,-3.8004,102.2655,74.97,93,100,5.23,overcast clouds
156,Boshnyakovo,RU,49.6333,142.1667,57.42,76,23,8.66,few clouds
157,Airai,TL,-8.9266,125.4092,75.76,45,84,3.11,broken clouds
158,Hobart,AU,-42.8794,147.3294,60.12,54,75,1.01,broken clouds
159,Sulangan,PH,11.1373,123.7228,84.09,70,83,3.78,broken clouds
160,Victoria,HK,22.2855,114.1577,90.97,73,26,1.01,scattered clouds
161,Guaymas,MX,27.9333,-110.9,83.46,54,41,5.08,scattered clouds
162,Somerset,US,40.5668,-74.5496,64.89,91,90,1.01,fog
163,Taksimo,RU,56.3444,114.8794,43.63,97,100,1.16,light rain
164,Thunder Bay,CA,48.4001,-89.3168,49.55,88,100,3.76,overcast clouds
165,Mwene-Ditu,CD,-7.0,23.45,75.78,53,39,4.92,scattered clouds
166,Lebyazhye,RU,55.2689,66.4947,43.3,45,100,18.45,overcast clouds
167,Luderitz,NA,-26.6481,15.1594,65.44,46,13,12.08,few clouds
168,Sorland,NO,67.667,12.6934,47.34,84,100,25.14,light rain
169,Mount Isa,AU,-20.7333,139.5,94.77,10,12,6.91,few clouds
170,Yulin,CN,22.6333,110.15,90.61,54,14,1.66,light rain
171,Magadan,RU,59.5667,150.8,49.1,74,100,3.22,overcast clouds
172,Lavrentiya,RU,65.5833,-171.0,29.53,84,97,3.62,overcast clouds
173,Lebu,CL,-37.6167,-73.65,46.2,85,18,11.77,few clouds
174,Waw,SS,7.7029,27.9953,74.26,84,98,3.09,overcast clouds
175,Dengzhou,CN,37.8086,120.7508,69.15,79,100,6.42,moderate rain
176,Giovinazzo,IT,41.1864,16.6674,69.82,63,0,3.44,clear sky
177,Concarneau,FR,47.875,-3.9225,61.05,90,89,6.64,overcast clouds
178,Tilichiki,RU,60.4667,166.1,43.84,86,100,4.74,overcast clouds
179,Nelson Bay,AU,-32.7167,152.15,60.1,66,100,1.99,overcast clouds
180,Chicama,PE,-7.8447,-79.1469,62.87,88,93,4.9,overcast clouds
181,Teguise,ES,29.0605,-13.564,66.42,78,20,9.22,few clouds
182,Asau,RO,46.4333,26.4,60.76,65,0,3.49,clear sky
183,Kavieng,PG,-2.5744,150.7967,83.64,76,51,10.71,light rain
184,Abay,KZ,49.6311,72.8539,59.38,20,93,11.81,overcast clouds
185,Stephenville,US,32.2207,-98.2023,70.59,59,1,0.0,clear sky
186,Alexandria,EG,31.2156,29.9553,75.51,58,0,6.96,clear sky
187,Puertollano,ES,38.6871,-4.1073,55.15,82,14,1.14,few clouds
188,Abu Dhabi,AE,24.4667,54.3667,93.22,62,0,4.61,clear sky
189,Auki,SB,-8.7676,160.7034,82.69,75,43,2.59,scattered clouds
190,Lasa,IT,46.6166,10.7002,58.03,89,44,2.28,scattered clouds
191,Kholtoson,RU,50.2981,103.3097,37.92,83,96,5.03,overcast clouds
192,Vestmannaeyjar,IS,63.4427,-20.2734,41.68,67,100,2.39,overcast clouds
193,Barrow,US,71.2906,-156.7887,24.82,86,90,4.61,overcast clouds
194,Tigil,RU,57.8,158.6667,49.73,69,45,5.06,scattered clouds
195,Novovasylivka,UA,46.8315,35.7536,59.58,63,89,13.0,overcast clouds
196,Kruisfontein,ZA,-34.0033,24.7314,61.88,73,19,6.78,few clouds
197,Kenai,US,60.5544,-151.2583,33.85,93,1,3.44,clear sky
198,Lodwar,KE,3.1191,35.5973,83.59,46,58,10.65,broken clouds
