City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Monteagudo,BO,2021-09-25 14:56:02,-19.8167,-63.9833,69.58,27,0,4.61
107,Coahuayana,MX,2021-09-25 14:56:02,18.7333,-103.6833,83.23,73,65,1.41
108,Fortuna,US,2021-09-25 14:56:02,40.5982,-124.1573,53.94,69,7,2.3
109,Sibolga,ID,2021-09-25 14:56:02,1.7427,98.7792,78.67,91,100,2.66
110,Bamiantong,CN,2021-09-25 14:56:03,44.9333,130.5333,56.82,98,100,0.49
111,Kiama,AU,2021-09-25 14:55:08,-34.6833,150.8667,54.37,80,100,1.99
112,Chifeng,CN,2021-09-25 14:56:03,42.2683,118.9636,61.3,80,100,4.76
113,Dikson,RU,2021-09-25 14:56:03,73.5069,80.5464,36.72,87,100,18.05
114,Nizhniy Kuranakh,RU,2021-09-25 14:56:03,58.8353,125.4869,33.12,93,97,1.41
115,Klaksvik,FO,2021-09-25 14:56:04,62.2266,-6.589,54.52,97,100,22.7
116,Hilo,US,2021-09-25 14:56:04,19.7297,-155.09,77.29,85,7,3.0
117,Lebu,CL,2021-09-25 14:55:07,-37.6167,-73.65,53.62,89,89,13.87
118,Dharmavaram,IN,2021-09-25 14:56:04,14.4333,77.7167,84.81,55,100,12.84
119,Arraial Do Cabo,BR,2021-09-25 14:56:04,-22.9661,-42.0278,76.96,64,75,21.85
120,Grand Gaube,MU,2021-09-25 14:56:05,-20.0064,57.6608,72.37,69,7,10.0
121,Bethel,US,2021-09-25 14:56:05,41.3712,-73.414,71.58,77,40,2.89
122,Mahebourg,MU,2021-09-25 14:56:05,-20.4081,57.7,72.25,78,40,13.8
123,Hay River,CA,2021-09-25 14:56:05,60.8156,-115.7999,48.18,53,75,6.91
124,Noumea,NC,2021-09-25 14:55:29,-22.2763,166.4572,64.38,77,3,7.09
125,Codrington,AU,2021-09-25 14:54:53,-38.2667,141.9667,45.82,66,77,3.22
126,Maceio,BR,2021-09-25 14:56:06,-9.6658,-35.7353,85.44,70,75,17.27
127,Khatanga,RU,2021-09-25 14:56:06,71.9667,102.5,29.79,92,100,9.91
128,Laguna,US,2021-09-25 14:56:06,38.421,-121.4238,77.5,81,1,1.01
129,Akyab,MM,2021-09-25 14:56:06,20.15,92.9,81.57,83,100,9.91
130,Murzzuschlag,AT,2021-09-25 14:56:07,47.6,15.6833,73.69,56,0,1.68
131,Busselton,AU,2021-09-25 14:56:07,-33.65,115.3333,56.05,77,96,12.53
132,Magdalena,PH,2021-09-25 14:56:07,14.1999,121.429,83.52,92,31,3.42
133,Ganganagar,IN,2021-09-25 14:56:08,29.9167,73.8833,87.84,51,6,7.38
134,Matagami,CA,2021-09-25 14:56:08,49.7502,-77.6328,51.91,93,90,16.11
135,Atuona,PF,2021-09-25 14:56:08,-9.8,-139.0333,77.92,78,38,18.5
136,Byron Bay,AU,2021-09-25 14:56:08,-28.65,153.6167,67.89,74,22,14.92
137,Nouadhibou,MR,2021-09-25 14:56:09,20.931,-17.0347,80.58,61,0,12.66
138,Tagusao,PH,2021-09-25 14:56:09,9.1924,117.8141,80.49,82,99,2.64
139,Rio Grande,BR,2021-09-25 14:56:09,-32.035,-52.0986,68.11,81,93,9.55
140,Saint George,US,2021-09-25 14:55:07,37.1041,-113.5841,80.35,25,1,3.44
141,Dawlatabad,AF,2021-09-25 14:56:10,36.4141,64.9053,81.23,10,0,6.71
142,Lata,PT,2021-09-25 14:56:10,40.1629,-8.3327,74.35,74,91,9.33
143,Ostrovnoy,RU,2021-09-25 14:56:10,68.0531,39.5131,45.55,89,67,9.89
144,Riyadh,SA,2021-09-25 14:53:33,24.6877,46.7219,98.74,12,37,13.42
145,Hualmay,PE,2021-09-25 14:56:10,-11.0964,-77.6139,65.75,77,95,8.95
146,Puerres,CO,2021-09-25 14:56:10,1.1937,-77.2666,59.9,67,91,6.87
147,Gashua,NG,2021-09-25 14:56:11,12.871,11.0482,100.26,12,6,7.4
148,Victoria,HK,2021-09-25 14:53:06,22.2855,114.1577,86.32,80,1,1.01
149,Calvinia,ZA,2021-09-25 14:56:11,-31.4707,19.776,76.98,15,97,13.8
150,Hithadhoo,MV,2021-09-25 14:56:11,-0.6,73.0833,83.3,73,100,9.75
151,Elhovo,BG,2021-09-25 14:56:11,42.1667,26.5667,84.65,36,7,1.39
152,Hvolsvollur,IS,2021-09-25 14:56:12,63.7533,-20.2243,41.81,59,98,10.2
153,Terrace,CA,2021-09-25 14:56:12,54.5163,-128.6035,51.71,100,90,4.61
154,Olinda,BR,2021-09-25 14:56:12,-8.0089,-34.8553,80.33,65,40,13.8
155,Tomatlan,MX,2021-09-25 14:56:12,19.9333,-105.25,79.9,84,50,1.97
156,Kieta,PG,2021-09-25 14:56:13,-6.2167,155.6333,78.85,86,47,6.02
157,Cabo San Lucas,MX,2021-09-25 14:56:13,22.8909,-109.9124,83.52,82,13,3.13
158,Narsaq,GL,2021-09-25 14:56:13,60.9167,-46.05,40.55,34,0,1.07
159,Gat,IL,2021-09-25 14:56:13,31.61,34.7642,83.39,45,0,18.05
160,Talnakh,RU,2021-09-25 14:55:35,69.4865,88.3972,32.09,72,76,1.16
161,Lavrentiya,RU,2021-09-25 14:56:14,65.5833,-171.0,29.89,88,100,11.43
162,Qandala,SO,2021-09-25 14:56:14,11.472,49.8728,88.84,55,80,2.62
163,Esna,EG,2021-09-25 14:56:14,25.2934,32.554,95.02,17,2,17.09
164,Caloundra,AU,2021-09-25 14:56:14,-26.8,153.1333,63.9,76,98,9.13
165,Flinders,AU,2021-09-25 14:56:15,-34.5833,150.8552,54.21,75,100,5.99
166,Katherine,AU,2021-09-25 14:56:15,-14.4667,132.2667,82.72,26,31,9.22
167,Nemuro,JP,2021-09-25 14:56:15,43.3236,145.575,52.9,82,0,9.15
168,Kaitangata,NZ,2021-09-25 14:56:15,-46.2817,169.8464,37.96,89,38,8.16
169,Faanui,PF,2021-09-25 14:56:15,-16.4833,-151.75,77.65,75,1,10.56
170,Roma,US,2021-09-25 14:52:55,43.2128,-75.4557,69.84,85,97,1.01
171,Agogo,GH,2021-09-25 14:56:16,6.8,-1.0819,75.87,84,97,3.87
172,Chupa,RU,2021-09-25 14:56:16,66.27,33.0549,46.51,88,98,6.6
173,Pidhaytsi,UA,2021-09-25 14:56:16,49.2685,25.1334,64.02,63,87,13.02
174,Worland,US,2021-09-25 14:56:16,44.0169,-107.9554,54.75,26,1,4.09
175,San Jose,US,2021-09-25 14:51:17,37.3394,-121.895,61.93,87,75,0.0
176,Nicoya,CR,2021-09-25 14:56:17,10.1483,-85.452,78.35,78,73,2.73
177,Paragominas,BR,2021-09-25 14:56:17,-2.9667,-47.4833,94.01,38,100,6.4
178,Vila,PT,2021-09-25 14:56:17,42.0304,-8.1588,61.32,89,93,7.07
